name,position,team,idp_pts
Jordyn Brooks,LB,MIA,193.3
Blake Cashman,LB,MIN,186.5
T.J. Edwards,LB,CHI,179.2
Jack Campbell,LB,DET,178.5
Nick Bolton,LB,KC,172.8
Fred Warner,LB,SF,170.2
Carson Schwesinger,LB,CLE,170.2
Mack Wilson Sr.,LB,ARI,168.4
Travis Hunter,DB,JAC,166.5
Foyesade Oluokun,LB,JAC,164.8
Cedric Gray,LB,TEN,162.6
Quay Walker,LB,LV,161.2
Ernest Jones IV,LB,SEA,161.1
Jamien Sherwood,LB,NYJ,158.5
Alex Singleton,LB,DEN,156.4
Roquan Smith,LB,BAL,156.4
Tremaine Edmunds,LB,NYG,155.4
Nate Landman,LB,LAR,153.0
Nakobe Dean,LB,LV,152.8
Demario Davis,LB,NYJ,151.8
Zack Baun,LB,PHI,150.7
Robert Spillane,LB,NE,146.9
Dre Greenlaw,LB,SF,146.7
Daiyan Henley,LB,LAC,146.2
Barrett Carter,LB,CIN,145.5
Edgerrin Cooper,LB,GB,144.7
Patrick Queen,LB,PIT,144.5
Azeez Al-Shaair,LB,HOU,144.1
Jaquan Brisker,DB,PIT,141.2
Nick Scott,DB,CAR,139.8
Kaden Elliss,LB,NO,139.6
Devin Bush Jr.,LB,CHI,139.4
DeMarvion Overshown,LB,DAL,139.0
Sonny Styles,LB,WAS,138.5
Budda Baker,DB,ARI,137.3
Kyle Hamilton,DB,BAL,136.7
Tykee Smith,DB,TB,135.2
Kam Curl,DB,LAR,134.8
Trevin Wallace,LB,CAR,134.8
Alohi Gilman,DB,KC,134.5
Frankie Luvu,LB,WAS,133.4
DaRon Bland,DB,DAL,131.6
Zaire Franklin,LB,GB,131.6
Devin Lloyd,LB,CAR,130.8
Demetrius Knight Jr.,LB,CIN,130.7
Nick Cross,DB,WAS,130.4
Trent McDuffie,DB,LAR,129.8
Quincy Williams,LB,CLE,129.3
Xavier McKinney,DB,GB,129.1
Christian Gonzalez,DB,NE,128.2
Terrel Bernard,LB,BUF,128.1
Jeremy Chinn,DB,LV,127.4
Derwin James Jr.,DB,LAC,127.3
Cam Lewis,DB,CHI,127.2
Cody Barton,LB,TEN,126.7
Eric Wilson,LB,MIN,126.0
Divine Deablo,LB,ATL,126.0
Justin Reid,DB,NO,125.7
Antoine Winfield Jr.,DB,TB,125.6
Nick Emmanwori,DB,SEA,125.2
Talanoa Hufanga,DB,DEN,125.0
Dadrion Taylor-Demerson,DB,ARI,124.5
Craig Woodson,DB,NE,124.5
Jordan Battle,DB,CIN,123.7
Drue Tranquill,LB,KC,123.2
Chamarri Conner,DB,KC,122.8
Derrick Barnes,LB,DET,122.1
Christian Elliss,LB,NE,122.0
Jihaad Campbell,LB,PHI,121.8
Tyrel Dodson,LB,MIA,121.8
Maxx Crosby,DL,LV,121.7
Joshua Metellus,DB,MIN,121.6
Arvell Reese,LB,NYG,121.0
Ji'Ayir Brown,DB,SF,120.5
Ventrell Miller,LB,JAC,120.5
Quentin Lake,DB,LAR,120.0
Alex Anzalone,LB,TB,120.0
Dante Trader Jr.,DB,MIA,119.8
Kamari Lassiter,DB,HOU,119.3
Eric Murray,DB,JAC,118.8
Tre'von Moehrig,DB,CAR,118.1
Kevin Byard III,DB,NE,118.0
CJ Allen,LB,IND,118.0
Henry To'oTo'o,LB,HOU,117.5
DeShon Elliott,DB,PIT,117.0
Zyon McCollum,DB,TB,117.0
Jessie Bates III,DB,ATL,116.8
Xavier Watts,DB,ATL,116.8
Amani Hooker,DB,TEN,116.7
Akeem Davis-Gaither,LB,IND,116.7
Cooper DeJean,DB,PHI,116.2
Malik Mustapha,DB,SF,116.0
Myles Garrett,DL,LAR,115.9
D.J. Reed Jr.,DB,DET,115.4
Dax Hill,DB,CIN,114.9
A.J. Terrell Jr.,DB,ATL,114.7
Jalen Thompson,DB,DAL,114.5
Cole Bishop,DB,BUF,114.5
Brian Burns,DL,NYG,114.5
Brian Burns,LB,NYG,114.5
Minkah Fitzpatrick,DB,NYJ,114.1
Ronnie Hickman Jr.,DB,CLE,114.0
Kevin Winston Jr.,DB,TEN,113.4
Kool-Aid McKinstry,DB,NO,113.2
Jeffery Simmons,DL,TEN,112.6
Omar Speights,LB,LAR,112.5
Paulson Adebo,DB,NYG,112.2
Jevon Holland,DB,NYG,112.2
Brandon Jones,DB,DEN,112.1
Devon Witherspoon,DB,SEA,111.5
Dillon Thieneman,DB,CHI,110.5
Nate Wiggins,DB,BAL,110.5
Jalen Pitre,DB,HOU,110.5
Reed Blankenship,DB,HOU,110.4
Julian Love,DB,SEA,110.0
Jalen Ramsey,DB,PIT,110.0
Carlton Davis III,DB,NE,110.0
Bryan Cook,DB,CIN,109.8
Evan Williams,DB,GB,109.3
Andrew Van Ginkel,DL,MIN,109.3
Andrew Van Ginkel,LB,MIN,109.3
Tyson Campbell,DB,CLE,109.1
Alontae Taylor,DB,TEN,108.9
Drake Thomas,LB,SEA,108.9
Tyrique Stevenson,DB,CHI,108.7
Christian Harris,LB,ATL,108.6
Dorian Williams,LB,BUF,108.5
Dee Winters,LB,DAL,108.0
Malaki Starks,DB,BAL,107.7
Caleb Downs,DB,DAL,107.5
Julian Blackmon,DB,NO,106.9
Grant Delpit,DB,CLE,106.8
Cam Bynum,DB,IND,106.8
Aidan Hutchinson,DL,DET,106.3
Brandon Stephens,DB,NYJ,106.2
Calen Bullock,DB,HOU,106.1
Andrew Mukuba,DB,PHI,106.1
SirVocea Dennis,LB,TB,105.2
Denzel Perryman,LB,LAC,104.8
Cody Simon,LB,ARI,104.6
Renardo Green,DB,SF,103.8
Justin Strnad,LB,DEN,103.7
Keisean Nixon,DB,GB,103.6
Taron Johnson,DB,LV,103.5
Kerby Joseph,DB,DET,103.1
Antonio Johnson,DB,JAC,102.8
Treydan Stukes,DB,LV,102.7
Will Anderson Jr.,DL,HOU,102.4
Ty Okada,DB,SEA,102.0
Brian Branch,DB,DET,101.9
Sauce Gardner,DB,IND,101.8
Marlon Humphrey,DB,BAL,101.7
Andre Cisco,DB,NYJ,101.4
Marcus Jones,DB,NE,101.3
Nick Bosa,DL,SF,101.3
Rasul Douglas,DB,WAS,100.8
Jaylen Watson,DB,LAR,100.7
Mansoor Delane,DB,KC,100.6
T.J. Watt,DL,PIT,100.6
T.J. Watt,LB,PIT,100.6
Jamel Dean,DB,PIT,100.2
Kamren Kinchens,DB,LAR,100.0
Mike Sainristil,DB,WAS,99.6
Teddye Buchanan,LB,BAL,99.6
Danielle Hunter,DL,HOU,99.5
Danielle Hunter,LB,HOU,99.5
Benjamin Morrison,DB,TB,99.4
Jacob Rodriguez,LB,MIA,98.6
C.J. Gardner-Johnson,DB,BUF,98.5
Dru Phillips,DB,NYG,98.3
Mike Jackson Sr.,DB,CAR,98.1
Tarheeb Still,DB,LAC,98.0
Joey Porter Jr.,DB,PIT,97.3
Jonas Sanker,DB,NO,97.2
Will Johnson,DB,ARI,96.8
Byron Young,DL,LAR,96.8
Byron Young,LB,LAR,96.8
Javon Bullard,DB,GB,96.6
Payton Wilson,LB,PIT,96.4
Quinyon Mitchell,DB,PHI,96.2
Alex Highsmith,DL,PIT,95.2
Alex Highsmith,LB,PIT,95.2
Maxwell Hairston,DB,BUF,94.9
Pat Surtain II,DB,DEN,94.5
Byron Murphy Jr.,DB,MIN,94.3
Will Harris,DB,WAS,94.2
Upton Stout,DB,SF,94.0
Jacob Parrish,DB,TB,93.8
Mike Hughes,DB,ATL,93.5
AJ Haulcy,DB,IND,93.2
Tuli Tuipulotu,DL,LAC,92.9
Tuli Tuipulotu,LB,LAC,92.9
Dallas Turner,DL,MIN,92.3
Dallas Turner,LB,MIN,92.3
DeForest Buckner,DL,IND,91.9
Riley Moss,DB,DEN,91.3
Montaric Brown,DB,JAC,91.2
Khalil Mack,DL,LAC,90.8
Khalil Mack,LB,LAC,90.8
Jared Verse,DL,CLE,90.6
Jared Verse,LB,CLE,90.6
Cam Hart,DB,LAC,90.5
Isaiah Rodgers Sr.,DB,MIN,90.3
DJ Turner II,DB,CIN,90.3
Tommy Togiai,DL,HOU,90.2
Jourdan Lewis,DB,JAC,90.0
Nik Bonitto,DL,DEN,89.7
Nik Bonitto,LB,DEN,89.7
Marcus Harris,DB,TEN,89.2
Montez Sweat,DL,CHI,89.1
Charvarius Ward,DB,IND,88.8
Zach Harrison,DL,ATL,88.8
Chris Johnson,DB,MIA,88.7
Elijah Molden,DB,LAC,88.5
Jaylon Johnson,DB,CHI,88.5
Deommodore Lenoir,DB,SF,88.5
Byron Murphy II,DL,SEA,88.5
Jordan Davis,DL,PHI,88.2
Trey Hendrickson,DL,BAL,88.1
Trey Hendrickson,LB,BAL,88.1
Jonathan Greenard,DL,PHI,88.0
Jonathan Greenard,LB,PHI,88.0
Geno Stone,DB,BUF,87.2
Ed Oliver,DL,BUF,87.2
Derrick Brown,DL,CAR,87.0
Chase Young,DL,NO,86.9
Cor'Dale Flott,DB,TEN,85.7
Abdul Carter,DL,NYG,85.7
Abdul Carter,LB,NYG,85.7
Nnamdi Madubuike,DL,BAL,85.4
Harold Landry III,DL,NE,85.0
Harold Landry III,LB,NE,85.0
Marcus Epps,DB,PHI,84.9
James Pierre,DB,MIN,84.7
Rock Ya-Sin,DB,DET,84.5
Malcolm Roach,DL,DEN,84.4
Ja'Quan McMillian,DB,DEN,84.3
Theo Jackson,DB,MIN,84.1
Dee Alford,DB,BUF,84.0
Danny Stutsman,LB,NO,84.0
Christian Benford,DB,BUF,83.5
A'Shawn Robinson,DL,TB,83.5
Jalen Carter,DL,PHI,83.3
Jonathon Cooper,DL,DEN,83.2
Jonathon Cooper,LB,DEN,83.2
Nahshon Wright,DB,NYJ,83.1
Lukas Van Ness,DL,GB,83.1
Lukas Van Ness,LB,GB,83.1
Adam Butler,DL,LV,83.0
Greg Rousseau,DL,BUF,83.0
Josh Hines-Allen,DL,JAC,83.0
Greg Rousseau,LB,BUF,83.0
Josh Hines-Allen,LB,JAC,83.0
Pete Werner,LB,NO,82.7
Derek Stingley Jr.,DB,HOU,82.2
Cameron Heyward,DL,PIT,82.2
Quinnen Williams,DL,DAL,81.5
Carl Granderson,DL,NO,81.4
Carl Granderson,LB,NO,81.4
Austin Booker,DL,CHI,81.3
Austin Booker,LB,CHI,81.3
Owen Pappoe,LB,ARI,81.2
Jermaine Johnson II,DL,TEN,81.0
Eric Stokes,DB,LV,80.9
Jaylinn Hawkins,DB,BAL,80.8
B.J. Hill,DL,CIN,80.5
DeMarcus Lawrence,DL,SEA,80.4
Micah Parsons,DL,GB,80.4
DeMarcus Lawrence,LB,SEA,80.4
Micah Parsons,LB,GB,80.4
Travon Walker,DL,JAC,80.0
Travon Walker,LB,JAC,80.0
Milton Williams,DL,NE,79.8
Josh Jobe,DB,SEA,79.6
Jalen Redmond,DL,MIN,79.2
Yaya Diaby,DL,TB,79.2
Yaya Diaby,LB,TB,79.2
Kyler Gordon,DB,CHI,79.0
Chau Smith-Wade,DB,CAR,78.8
Tony Jefferson II,DB,LAC,78.8
Denzel Ward,DB,CLE,78.6
Laiatu Latu,DL,IND,78.5
David Bailey,DL,NYJ,77.8
David Bailey,LB,NYJ,77.8
Zayne Anderson,LB,MIA,77.8
Nathan Shepherd,DL,NO,77.5
Leonard Williams,DL,SEA,77.5
Austin Ajiake,LB,IND,77.4
Mason Graham,DL,CLE,77.1
Grady Jarrett,DL,CHI,77.0
Rueben Bain Jr.,DL,TB,76.9
Rueben Bain Jr.,LB,TB,76.9
Devonte Wyatt,DL,GB,76.8
Riq Woolen,DB,PHI,76.7
Jaycee Horn,DB,CAR,76.5
JuJu Brents,DB,MIA,76.4
George Karlaftis III,DL,KC,76.2
Xavier Woods,DB,CHI,75.7
T'Vondre Sweat,DL,NYJ,75.7
Roger McCreary,DB,DET,75.5
Odafe Oweh,DL,WAS,75.5
Odafe Oweh,LB,WAS,75.5
DJ Wonnum,DL,DET,75.4
DJ Wonnum,LB,DET,75.4
Chop Robinson,DL,MIA,75.3
Chop Robinson,LB,MIA,75.3
Cobie Durant,DB,DAL,75.2
Jaelan Phillips,DL,CAR,75.2
Jaelan Phillips,LB,CAR,75.2
Daron Payne,DL,WAS,75.0
Martin Emerson Jr.,DB,NO,74.9
Nolan Smith Jr.,DL,PHI,74.9
Nolan Smith Jr.,LB,PHI,74.9
Bradley Chubb,DL,BUF,74.8
Dorance Armstrong Jr.,DL,WAS,74.8
Josiah Trotter,LB,TB,74.8
Bradley Chubb,LB,BUF,74.8
L'Jarius Sneed,DB,KC,74.7
Myles Murphy,DL,CIN,74.7
Jonah Laulu,DL,LV,74.6
Kayvon Thibodeaux,DL,NYG,74.5
Kayvon Thibodeaux,LB,NYG,74.5
Jason Marshall Jr.,DB,MIA,74.4
Chris Jones,DL,KC,73.8
Javon Hargrave,DL,GB,73.5
Boye Mafe,DL,CIN,73.4
Boye Mafe,LB,CIN,73.4
Zach Allen,DL,DEN,73.3
Billy Bowman Jr.,DB,ATL,73.2
Andrew Wingard,DB,ARI,73.2
K.J. Britt,LB,NE,73.2
Patrick Jones II,DL,CAR,72.8
Patrick Jones II,LB,CAR,72.8
Travis Jones,DL,BAL,72.7
Harrison Phillips,DL,NYJ,72.3
Jonathan Allen,DL,CIN,72.3
Walter Nolen III,DL,ARI,72.0
Chidobe Awuzie,DB,BAL,71.8
Jalyx Hunt,DL,PHI,71.5
Osa Odighizuwa,DL,SF,71.5
Jalyx Hunt,LB,PHI,71.5
Zach Sieler,DL,MIA,71.2
Teair Tart,DL,LAC,71.0
David Onyemata,DL,NYJ,70.5
Keeanu Benton,DL,PIT,70.2
Donovan Ezeiruaku,DL,DAL,70.2
Dre'Mont Jones,DL,NE,70.2
Donovan Ezeiruaku,LB,DAL,70.2
Dre'Mont Jones,LB,NE,70.2
Jahlani Tavai,DL,JAC,70.0
Jahlani Tavai,LB,JAC,70.0
D.J. Jones,DL,DEN,69.9
Jadeveon Clowney,DL,HOU,69.7
Jadeveon Clowney,LB,HOU,69.7
Kobie Turner,DL,LAR,69.1
Gervon Dexter Sr.,DL,CHI,69.0
DaVon Hamilton,DL,JAC,68.5
Derrick Harmon,DL,PIT,68.5
Leo Chenal,LB,WAS,68.5
Josh Sweat,DL,ARI,68.2
Josh Sweat,LB,ARI,68.2
Kader Kohou,DB,KC,68.0
Uchenna Nwosu,DL,SEA,67.8
Uchenna Nwosu,LB,SEA,67.8
Tyler Nubin,DB,NYG,67.6
Malik Hooker,DB,DAL,67.0
Maliek Collins,DL,CLE,66.9
Greg Newsome II,DB,NYG,66.8
Trey Amos,DB,WAS,66.8
Thomas Booker IV,DL,LV,66.6
Isaiah Pola-Mao,DB,LV,66.5
Rashan Gary,DL,DAL,66.5
